Open,High,Low,Volume,SMA50,SMA200,MACrossover,RSI,RSI_Signal,BB_Mid,BB_Low,BB_High,Hour,DayOfWeek,Month,Date,Close
142.6372121231963,248.37640326310608,483.91640816194007,5987,291.1998180217246,470.8825859163324,1,3.842564563905859,30.779275554792473,250.2909028249744,178.6347691643441,391.73821373190907,15,3,3,2020-01-01,249.81604753894499
363.1381218412144,460.77607869966005,119.47793935997191,9733,288.54659376313737,335.4344389397017,0,40.16905685616143,28.900633473446348,212.85685148868401,461.85537084597973,247.74402824465557,23,2,4,2020-01-02,480.2857225639665
499.76549030826664,422.6774078778957,139.20307391229642,5920,170.31352633215272,263.095686476638,1,79.9073419486196,46.85380452156892,444.3480494218688,105.52888163899787,361.3730750010516,12,6,9,2020-01-03,392.797576724562
119.28481554422241,493.94336110499034,117.62634462815257,3926,157.97301084380024,360.47078429744727,0,52.269726463836996,98.91792332678332,295.34184811248014,318.121280946303,330.7643631593517,4,4,4,2020-01-04,339.46339367881467
490.8696736885269,401.6993038728323,174.11074013341602,8282,201.90703453144803,407.1867031239221,0,55.0038740998604,88.87867667162173,110.73917376626655,269.2209577168059,150.42104358096276,22,2,4,2020-01-05,162.40745617697462
262.7631842891483,257.2780804111689,316.50804437667125,5376,465.8104615208224,484.29123529129726,0,9.716468196596551,32.794956832148614,383.18576273535865,310.03513818879173,193.94347719944022,23,2,4,2020-01-06,162.39780813448107
448.30138013490364,336.2551335978551,358.2288725709712,5868,145.22118713380405,299.81966490703303,1,13.233055612009137,42.287011573013764,255.47923913064102,321.37793277907963,236.44892508572576,5,2,7,2020-01-07,123.23344486727979
412.9541936233094,364.4057016989281,118.23406317946751,7986,402.9700413493299,144.83940414030351,0,67.69996053657859,66.94807463859314,312.4587053484049,255.61254162708437,178.19336254540116,20,6,5,2020-01-08,446.47045830997405
326.8065043946671,131.38232652684957,478.3883559382397,7862,403.0193572533485,276.3063205746165,0,67.50466222899199,1.7151680696614102,457.51497080399923,499.27913875443807,160.05353833201022,23,1,12,2020-01-09,340.4460046972835
395.3796837005306,317.79878364154604,436.8661506601524,5423,423.9081615589049,291.58822458138854,0,97.91033942522733,82.01536586856479,202.69510985312468,490.60287612025036,123.27910805211482,16,4,2,2020-01-10,383.2290311184182
451.4062245205392,383.72833138904383,218.64499286283726,7870,454.6461955957422,458.7976312742696,0,71.19529880655504,87.97980573119195,196.10587024487086,484.69815068183806,449.24102624357204,16,1,7,2020-01-11,108.23379771832097
261.6561286604132,166.92852160042415,130.87501209058718,9159,205.21447101557212,257.9203073851812,1,49.32434959334473,85.7200334324534,205.27700167203574,491.63401895063515,215.57736718594145,16,1,3,2020-01-12,487.96394086479773
230.8132646252955,412.25268697022284,167.9548292876229,3073,189.82378770755855,481.32970595485534,1,85.73278235335529,37.50543868855362,235.24319650388108,417.20495950775944,216.12824157342646,2,4,11,2020-01-13,432.9770563201687
367.0373542254339,333.50911220564467,150.77776550198905,7170,286.2022666109919,294.0527630857339,0,10.447298581593623,46.19995073642082,142.94158985843984,495.4361916105328,182.49125497206217,12,1,1,2020-01-14,184.93564427131048
423.13837677650343,480.88871427903786,149.31351171957874,1701,206.03566750081444,489.5122003915715,0,44.929582089625455,1.2388321903755828,378.8878643234358,456.9440901100568,290.1589487455532,11,6,9,2020-01-15,172.72998688284025
